time_s,time_rel_s,baro_rel_m,baro_amsl_m,Press,Temp,CRt,east_m,north_m,pos_amsl_m,pos_rel_m,gps_amsl_m,gps_rel_m,baro_rel_cal_m,baro_amsl_cal_m,baro_rel_err_m,baro_amsl_err_m,baro_rel_err_roll_m
53.535049,0.0,0.7114182,57.83142,101675.1,21.1,0.1186113,0.0,0.0,58.01,0.0,58.49,0.0,-0.30599729999999936,57.704004999999995,-0.30599729999999936,-0.3059950000000029,-0.30599729999999936
53.635898,0.10084899999999664,0.7353706,57.85537,101674.8,21.11,-0.4366012,0.0,0.0,58.01,0.0,58.49,0.0,-0.2820448999999994,57.727954999999994,-0.2820448999999994,-0.28204500000000365,-0.29402109999999937
54.540383,1.0053339999999977,0.7699699,57.88997,101674.4,21.17,1.260107,-0.011174491054096309,-0.022238984798711222,58.02,0.010000000000005116,58.5,0.00999999999999801,-0.24744559999999938,57.76255499999999,-0.2574456000000045,-0.25744500000001125,-0.28182926666666774
54.640418,1.105368999999996,0.913681,58.03368,101672.7,21.19,0.9028023,-0.011174491054096309,-0.022238984798711222,58.02,0.010000000000005116,58.5,0.00999999999999801,-0.1037344999999994,57.90626499999999,-0.11373450000000451,-0.11373500000001258,-0.23980557500000194
54.740433,1.2053840000000022,1.171833,58.29183,101669.6,21.21,-0.1115103,-0.01676173638264563,-0.022238984798711222,58.02,0.010000000000005116,58.5,0.00999999999999801,0.15441750000000054,58.16441499999999,0.14441749999999542,0.14441499999998797,-0.16296096000000246
54.840741,1.3056920000000005,0.8125496,57.93255,101673.9,21.22,-0.4799696,-0.01676173638264563,-0.011119492004311874,58.02,0.010000000000005116,58.5,0.00999999999999801,-0.20486589999999938,57.80513499999999,-0.2148659000000045,-0.2148650000000103,-0.17161178333333615
54.940383,1.4053339999999963,0.751339,57.87134,101674.6,21.24,-0.1219706,-0.01676173638264563,-0.011119492004311874,58.03,0.020000000000003126,58.5,0.00999999999999801,-0.2660764999999994,57.74392499999999,-0.2860765000000025,-0.28607500000001096,-0.18796388571428846
55.040384,1.5053350000000023,1.08667,58.20667,101670.6,21.25,-0.2611482,-0.011174491054096309,-0.011119492004311874,58.03,0.020000000000003126,58.5,0.00999999999999801,0.06925450000000066,58.079255,0.049254499999997536,0.04925500000000227,-0.15831158750000274
55.140378,1.6053289999999976,1.195786,58.31578,101669.3,21.26,-0.3077185,-0.011174491054096309,0.0,58.04,0.030000000000001137,58.52,0.030000000000001137,0.17837050000000065,58.18836499999999,0.14837049999999952,0.1483649999999912,-0.12423580000000249
55.240284,1.7052350000000018,0.9349747,58.05497,101672.5,21.28,0.4649079,-0.0055872455270481545,0.0,58.05,0.03999999999999915,58.52,0.030000000000001137,-0.08244079999999931,57.927555,-0.12244079999999846,-0.12244499999999903,-0.12405630000000208
55.340414,1.8053650000000019,1.139896,58.2599,101670.0,21.29,0.8374988,-0.0055872455270481545,0.0,58.05,0.03999999999999915,58.52,0.030000000000001137,0.12248050000000066,58.132485,0.08248050000000151,0.08248500000000547,-0.10528022727272902
55.440347,1.905298000000002,0.8498116,57.96981,101673.5,21.31,0.2603173,-0.0055872455270481545,0.0,58.06,0.05000000000000426,58.52,0.030000000000001137,-0.16760389999999936,57.842394999999996,-0.21760390000000362,-0.21760500000000604,-0.11464053333333524
55.540777,2.0057279999999977,0.8923912,58.01239,101673.0,21.32,-0.3393209,-0.0055872455270481545,0.011119492794399348,58.06,0.05000000000000426,58.5,0.00999999999999801,-0.1250242999999993,57.884975,-0.17502430000000357,-0.1750250000000051,-0.1192854384615405
55.640306,2.1052570000000017,0.9748955,58.09489,101672.0,21.34,-0.5472398,-0.011174491054096309,0.011119492794399348,58.07,0.060000000000002274,58.5,0.00999999999999801,-0.042519999999999336,57.96747499999999,-0.10252000000000161,-0.10252500000000708,-0.11808790714285913
55.740426,2.2053769999999986,0.9349747,58.05497,101672.5,21.34,-0.4183292,-0.011174491054096309,0.011119492794399348,58.07,0.060000000000002274,58.49,0.0,-0.08244079999999931,57.927555,-0.1424408000000016,-0.14244500000000215,-0.11971143333333531
55.8404,2.3053510000000017,0.6981125,57.81811,101675.3,21.35,-0.1347279,-0.011174491054096309,0.011119492794399348,58.08,0.07000000000000028,58.49,0.0,-0.31930299999999934,57.69069499999999,-0.3893029999999996,-0.38930500000000734,-0.13656090625000183
55.940437,2.405388000000002,0.692791,57.81279,101675.4,21.37,-0.2628076,-0.011174491054096309,0.011119492794399348,58.08,0.07000000000000028,58.46,-0.030000000000001137,-0.3246244999999993,57.68537499999999,-0.3946244999999996,-0.3946250000000049,-0.15174111764706052
56.040679,2.5056299999999965,0.8790855,57.99908,101673.1,21.37,-0.6728256,-0.022348981909693783,0.011119492794399348,58.09,0.0800000000000054,58.46,-0.030000000000001137,-0.1383299999999994,57.87166499999999,-0.2183300000000048,-0.21833500000001038,-0.15544050000000187
56.140401,2.6053519999999963,0.8338432,57.95384,101673.7,21.38,-0.5164707,-0.022348981909693783,0.011119492794399348,58.09,0.0800000000000054,58.45,-0.03999999999999915,-0.18357229999999936,57.826425,-0.26357230000000476,-0.263575000000003,-0.1611316473684231
56.240388,2.705339000000002,0.9376335,58.05763,101672.4,21.39,0.1447117,-0.02793622743674194,0.0,58.09,0.0800000000000054,58.45,-0.03999999999999915,-0.07978199999999935,57.930215000000004,-0.15978200000000475,-0.1597849999999994,-0.16106416500000215
56.340383,2.805334000000002,0.9190063,58.03901,101672.6,21.4,0.5148054,-0.02793622743674194,0.0,58.08,0.07000000000000028,58.44,-0.05000000000000426,-0.09840919999999931,57.91159499999999,-0.1684091999999996,-0.16840500000000702,-0.1614139285714306
56.440783,2.9057340000000025,0.7726288,57.89263,101674.4,21.41,0.3975368,-0.02793622743674194,-0.011119492004311874,58.08,0.07000000000000028,58.44,-0.05000000000000426,-0.24478669999999936,57.765215,-0.31478669999999964,-0.31478500000000054,-0.1683854181818201
56.540312,3.0052629999999994,0.8125496,57.93255,101673.9,21.42,0.03742098,-0.02793622743674194,-0.011119492004311874,58.08,0.07000000000000028,58.43,-0.060000000000002274,-0.20486589999999938,57.80513499999999,-0.27486589999999966,-0.27486500000000547,-0.1730150043478279
56.640442,3.1053929999999994,0.6821442,57.80214,101675.5,21.42,-0.3459811,-0.02793622743674194,-0.011119492004311874,58.07,0.060000000000002274,58.43,-0.060000000000002274,-0.3352712999999994,57.674724999999995,-0.39527130000000166,-0.39527500000000515,-0.18227568333333513
56.74025,3.2052010000000024,0.7353706,57.85537,101674.8,21.43,-0.5164731,-0.02793622743674194,-0.011119492004311874,58.07,0.060000000000002274,58.42,-0.07000000000000028,-0.2820448999999994,57.727954999999994,-0.34204490000000165,-0.3420450000000059,-0.18866645200000182
56.840761,3.3057119999999998,0.7353706,57.85537,101674.9,21.44,-0.434134,-0.022348981909693783,-0.022238984798711222,58.07,0.060000000000002274,58.42,-0.07000000000000028,-0.2820448999999994,57.727954999999994,-0.34204490000000165,-0.3420450000000059,-0.19456562307692488
56.940398,3.405349000000001,0.692791,57.81279,101675.4,21.44,-0.2378571,-0.01676173638264563,-0.022238984798711222,58.06,0.05000000000000426,58.4,-0.09000000000000341,-0.3246244999999993,57.68537499999999,-0.3746245000000036,-0.37462500000000887,-0.20123447037037223
57.040375,3.5053259999999966,0.9988441,58.11884,101671.7,21.45,0.004160407,-0.011174491054096309,-0.022238984798711222,58.06,0.05000000000000426,58.4,-0.09000000000000341,-0.01857139999999935,57.99142499999999,-0.06857140000000361,-0.06857500000000982,-0.1964965035714305
57.140376,3.6053270000000026,0.8657761,57.98577,101673.3,21.46,0.3459776,-0.011174491054096309,-0.022238984798711222,58.05,0.03999999999999915,58.4,-0.09000000000000341,-0.1516393999999993,57.858355,-0.19163939999999846,-0.19164499999999407,-0.19632901724138113
57.240872,3.7058230000000023,0.445282,57.56528,101678.3,21.47,0.5006647,-0.011174491054096309,-0.022238984798711222,58.05,0.03999999999999915,58.4,-0.09000000000000341,-0.5721334999999994,57.437865,-0.6121334999999986,-0.612134999999995,-0.21018916666666837
57.340405,3.805355999999996,0.5357704,57.65577,101677.2,21.48,-0.1546967,-0.011174491054096309,-0.022238984798711222,58.04,0.030000000000001137,58.38,-0.10999999999999943,-0.4816450999999994,57.52835499999999,-0.5116451000000005,-0.5116450000000086,-0.21991355161290488
57.440272,3.9052229999999994,0.4718971,57.5919,101678.0,21.48,-1.143552,-0.011174491054096309,-0.022238984798711222,58.04,0.030000000000001137,58.38,-0.10999999999999943,-0.5455183999999993,57.464484999999996,-0.5755184000000004,-0.5755150000000029,-0.23102620312500163
57.540373,4.005324000000002,0.4798813,57.59988,101677.9,21.49,-1.240852,-0.011174491054096309,-0.022238984798711222,58.04,0.030000000000001137,58.38,-0.10999999999999943,-0.5375341999999994,57.472465,-0.5675342000000005,-0.5675349999999995,-0.24122341515151677
57.6404,4.105350999999999,0.4559288,57.57593,101678.2,21.49,-0.6104433,-0.0055872455270481545,-0.022238984798711222,58.03,0.020000000000003126,58.38,-0.10999999999999943,-0.5614866999999993,57.448515,-0.5814867000000025,-0.5814850000000007,-0.25123115882353103
57.740371,4.2053220000000024,0.6182709,57.73827,101676.3,21.5,-0.1513636,-0.0055872455270481545,-0.022238984798711222,58.03,0.020000000000003126,58.36,-0.13000000000000256,-0.3991445999999994,57.610855,-0.41914460000000253,-0.4191450000000003,-0.2560286857142874
57.840369,4.305320000000002,0.4053612,57.52536,101678.8,21.51,0.06569982,-0.0055872455270481545,-0.022238984798711222,58.02,0.010000000000005116,58.36,-0.13000000000000256,-0.6120542999999994,57.39794499999999,-0.6220543000000045,-0.6220550000000102,-0.2661960638888906
57.940407,4.405358,0.644886,57.76488,101675.9,21.51,0.1671624,0.0,-0.022238984798711222,58.01,0.0,58.35,-0.14000000000000057,-0.3725294999999994,57.63746499999999,-0.3725294999999994,-0.3725350000000063,-0.26906994054054223
58.04039,4.505341000000001,0.7433548,57.86335,101674.8,21.51,0.2120745,0.0,-0.022238984798711222,58.0,-0.00999999999999801,58.35,-0.14000000000000057,-0.2740606999999994,57.735935,-0.26406070000000137,-0.2640650000000022,-0.26893811842105425
58.140745,4.605696000000002,0.4985085,57.61851,101677.7,21.52,0.4066896,0.005587245328549321,-0.022238984798711222,57.99,-0.01999999999999602,58.34,-0.14999999999999858,-0.5189069999999993,57.491095,-0.4989070000000033,-0.4989050000000006,-0.2748347564102581
58.240317,4.705267999999997,0.8205338,57.94053,101673.8,21.53,0.492351,0.011174490855597475,-0.022238984798711222,57.98,-0.030000000000001137,58.34,-0.14999999999999858,-0.19688169999999938,57.813114999999996,-0.16688169999999825,-0.16688500000000062,-0.2721359300000016
58.340301,4.805251999999996,0.596981,57.71698,101676.5,21.53,0.2835977,0.011174490855597475,-0.022238984798711222,57.97,-0.03999999999999915,58.33,-0.1600000000000037,-0.4204344999999994,57.58956499999999,-0.38043450000000023,-0.38043500000000563,-0.27477735853658697
58.440763,4.905713999999996,0.5517387,57.67174,101677.1,21.54,0.1064539,0.01676173638264563,-0.022238984798711222,57.97,-0.03999999999999915,58.33,-0.1600000000000037,-0.46567679999999934,57.544325,-0.4256768000000002,-0.42567499999999825,-0.27837020238095395
58.540269,5.005220000000001,0.5490761,57.66908,101677.1,21.54,-0.1155973,0.02234898171119495,-0.011119492004311874,57.96,-0.04999999999999716,58.34,-0.14999999999999858,-0.4683393999999994,57.541664999999995,-0.41833940000000225,-0.4183350000000061,-0.2816253000000016
58.640289,5.105240000000002,0.5490761,57.66908,101677.1,21.55,-0.4174948,0.027936227238243103,-0.011119492004311874,57.95,-0.05999999999999517,58.34,-0.14999999999999858,-0.4683393999999994,57.541664999999995,-0.40833940000000424,-0.4083350000000081,-0.28450516590909253
58.740747,5.205697999999998,0.5464134,57.66641,101677.1,21.55,-0.3992033,0.027936227238243103,-0.011119492004311874,57.95,-0.05999999999999517,58.35,-0.14000000000000057,-0.4710020999999993,57.538995,-0.41100210000000414,-0.41100500000000295,-0.28731620888889053
58.840374,5.305324999999996,0.6395607,57.75956,101676.0,21.55,-0.123924,0.03352347276529126,-0.011119492004311874,57.95,-0.05999999999999517,58.35,-0.14000000000000057,-0.3778547999999994,57.632144999999994,-0.3178548000000042,-0.31785500000000866,-0.28798009130434954
58.940448,5.405399000000003,0.5224609,57.64246,101677.4,21.57,0.08232951,0.03352347276529126,-0.011119492004311874,57.95,-0.05999999999999517,58.37,-0.12000000000000455,-0.49495459999999936,57.515045,-0.4349546000000042,-0.4349550000000022,-0.2911072085106401
59.040431,5.505381999999997,0.4479446,57.56794,101678.3,21.57,0.07567764,0.03352347276529126,-0.011119492004311874,57.94,-0.07000000000000028,58.37,-0.12000000000000455,-0.5694708999999993,57.440524999999994,-0.49947089999999905,-0.4994750000000039,-0.2954481187500017
59.14027,5.605221,0.5889969,57.709,101676.6,21.57,-0.1513648,0.03352347276529126,0.0,57.94,-0.07000000000000028,58.36,-0.13000000000000256,-0.4284185999999993,57.581585000000004,-0.35841859999999903,-0.3584149999999937,-0.29673323061224655
59.240789,5.705739999999999,0.3707657,57.49076,101679.2,21.58,-0.3018928,0.03911071829233942,0.0,57.94,-0.07000000000000028,58.36,-0.13000000000000256,-0.6466497999999994,57.363344999999995,-0.5766497999999991,-0.5766550000000024,-0.3023315620000016
59.34037,5.805320999999999,0.3095512,57.42955,101679.9,21.58,-0.3060508,0.04469796362088873,0.011119492794399348,57.93,-0.0799999999999983,58.36,-0.13000000000000256,-0.7078642999999993,57.30213499999999,-0.627864300000001,-0.627865000000007,-0.3087689020000017
59.44038,5.905330999999997,0.4239922,57.54399,101678.6,21.58,-0.4540944,0.04469796362088873,0.011119492794399348,57.93,-0.0799999999999983,58.36,-0.13000000000000256,-0.5934232999999993,57.416574999999995,-0.513423300000001,-0.5134250000000051,-0.3133964700000017
