,bias_m,mae_m,rmse_m,p95_abs_m,min_err_m,max_err_m,drift_m
BARO Alt + offset vs POS up,-0.10245966515248887,0.33776602413210355,0.4306854111905694,0.8201844999999928,-2.6128525,1.2998394999999983,-0.26909720000000026
BARO AltAMSL + offset vs POS Alt,-0.10246021466803293,0.3377661581824394,0.4306855587471559,0.8201849999999951,-2.6128550000000033,1.2998350000000016,-0.26910000000000167
