step,time_rel_s,start_pred_east_m,start_pred_north_m,start_pred_up_m,pred_east_m,pred_north_m,pred_up_m,true_east_m,true_north_m,true_up_m,horizontal_error_m,error_3d_m
1,705.50000000001,189.9808731668654,-83.7742577340863,20.880000000000003,224.77306168510194,-82.29229626928068,21.397897803081392,237.735900064491,-83.84097469006262,21.080000000000005,13.055021397958637,13.058891327917612
2,710.50000000001,224.77306168510194,-82.29229626928068,21.397897803081392,241.36428902906113,-79.4083601880195,20.77555055683878,273.9493995807927,-83.95216961642643,21.0949789386702,32.900389568973935,32.90194019022842
3,715.5000000000101,241.36428902906113,-79.4083601880195,20.77555055683878,242.82269455705782,-80.86795144257816,20.79399037695674,275.1117804081322,-83.86321367486133,21.07,32.42771439584037,32.42888900733735
4,720.5000000000101,242.82269455705782,-80.86795144257816,20.79399037695674,239.3149884407767,-80.05017593662302,19.62667060900436,265.5803165670476,-74.33142748805284,21.020000000000003,26.880690939756388,26.916777522402516
5,725.5000000000102,239.3149884407767,-80.05017593662302,19.62667060900436,211.70720084837475,-55.2631332465955,18.221974432922405,231.9833892881615,-40.651053681308326,21.277486176521606,24.992732681082014,25.178817265378004
6,730.5000000000103,211.70720084837475,-55.2631332465955,18.221974432922405,196.49854903805235,-30.84123892573939,18.633882658817164,196.8873962072711,-5.42618439565841,21.517462145001375,25.418029012651612,25.581071704311793
7,735.5000000000103,196.49854903805235,-30.84123892573939,18.633882658817164,192.6171861131274,-12.179801552129305,18.203392393027983,175.6254447089395,15.73949370861834,21.220000000000006,32.68342582722317,32.82234368929251
8,740.5000000000105,192.6171861131274,-12.179801552129305,18.203392393027983,178.81950166290747,-9.092310797189544,17.576592822348744,175.3501115717758,16.13438385663264,20.830000000000005,25.46414716344577,25.67114039198913
9,745.5000000000106,178.81950166290747,-9.092310797189544,17.576592822348744,165.10121547810502,-5.933826091633776,17.73755261709133,175.2886518715738,16.178861827020143,28.811429098732386,24.346556784456297,26.74669264767885
10,750.5000000000106,165.10121547810502,-5.933826091633776,17.73755261709133,158.29773383523988,0.6793790207682342,26.59180207567065,175.24954115328143,16.145503349427035,40.17236165425974,22.946999217709024,26.664515213390743
11,755.5000000000107,158.29773383523988,0.6793790207682342,26.59180207567065,154.06228380913603,1.5592889138394677,27.35545821025142,175.26071564433553,16.10102537824944,40.77748689790474,25.70672308311486,28.99976665016701
12,760.5000000000107,154.06228380913603,1.5592889138394677,27.35545821025142,153.8635002409391,2.2140390533113186,25.353192364959934,175.2412064349252,16.0870800898095,35.98557818920343,25.484654004258225,27.613678096775317
13,765.5000000000108,153.8635002409391,2.2140390533113186,25.353192364959934,153.1300349349366,5.702765006700305,18.742217918056824,175.25930820533085,16.156622841431346,28.787777837328516,24.4742288766072,26.45564501569054
14,770.5000000000109,153.1300349349366,5.702765006700305,18.742217918056824,152.6880223438522,11.48854142373483,12.213959600177855,175.23418672472843,16.103826141021596,23.097481213555383,23.013699861411094,25.457443391274953
15,775.5000000000109,152.6880223438522,11.48854142373483,12.213959600177855,160.5936800280604,10.916126676941014,10.365241934427047,175.00533945710808,16.292677220153134,23.01254778594182,15.3819122102089,19.913753251065796
16,780.500000000011,160.5936800280604,10.916126676941014,10.365241934427047,157.28903992028836,18.378905573283618,10.242929277269136,156.14346994932734,31.20835447957177,22.55028096398587,12.880492606939608,17.81510581888177
17,785.5000000000111,157.28903992028836,18.378905573283618,10.242929277269136,146.51733742861984,27.22633020011762,9.053482630399339,118.79314754711721,60.37292452249508,21.705137783647913,43.21258404397819,45.02656768924986
18,790.5000000000111,146.51733742861984,27.22633020011762,9.053482630399339,131.9033431379358,32.30506805846423,8.88470686863183,110.09667182381443,67.33964757595533,21.15,41.266847175057244,43.051017309326355
19,795.5000000000113,131.9033431379358,32.30506805846423,8.88470686863183,121.26001068366239,33.94136997812914,10.772282815375624,110.15956651666129,67.2506916351803,20.942568336560193,35.11026587705662,36.55359732693929
