time_s,time_rel_s,east_m_ref,north_m_ref,up_m_ref,dx_east_m,dy_north_m,dz_up_m,pred_dx_east_m,pred_dy_north_m,pred_dz_up_m,true_east_end_m,true_north_end_m,true_up_end_m,pred_east_end_m,pred_north_end_m,pred_up_end_m,local_error_3d_m
754.05593600001,700.50000000001,189.9808731668654,-83.7742577340863,20.880000000000003,47.75502689762561,-0.0667169559763181,0.20000000000000284,34.79218851823653,1.4819614648056212,0.5178978030813889,237.735900064491,-83.84097469006262,21.080000000000005,224.77306168510194,-82.29229626928068,21.397897803081392,13.058891327917612
754.1559360000099,700.6000000000099,190.76741186397928,-83.7742577340863,20.880000000000003,47.96068997027953,-0.07509325008952317,0.20000000000000284,32.62317290055781,2.26850342600055,-0.502454856468382,238.7281018342588,-83.84935098417583,21.080000000000005,223.3905847645371,-81.50575430808576,20.37754514353162,15.531430007232476
754.2559360000099,700.7000000000099,191.57801498017466,-83.7742577340863,20.880000000000003,48.14210411863053,-0.07783644798062994,0.20752157989900155,29.552333417054392,2.7321231216495443,-0.40400786349088297,239.72011909880518,-83.85209418206693,21.087521579899004,221.13034839722906,-81.04213461243675,20.47599213650912,18.810885566082934
754.3559360000099,700.80000000001,192.41413784166718,-83.7742577340863,20.88754023750779,48.29733807803072,-0.07783644798062994,0.20245976249220732,28.238826650589164,3.2286986453239317,0.29144688368534377,240.7114759196979,-83.85209418206693,21.089999999999996,220.65296449225636,-80.54555908876237,21.17898712119313,20.329411543765744
754.45593600001,700.90000000001,193.25744923883735,-83.7742577340863,20.890000000000008,48.45316519386785,-0.07783644798062994,0.19999999999998863,25.41995023995858,4.379577373016514,0.2535067031156072,241.7106144327052,-83.85209418206693,21.089999999999996,218.67739947879593,-79.39468036106979,21.143506703115616,23.46061363331923
754.55593600001,701.00000000001,194.11995346323303,-83.7742577340863,20.890000000000008,48.58613607079599,-0.07783644798062994,0.19999999999998863,24.80766341238181,5.1025241872750104,-0.8199361201572002,242.70608953402902,-83.85209418206693,21.089999999999996,218.92761687561483,-78.6717335468113,20.070063879842806,24.357589535244628
754.6559360000099,701.1000000000099,194.99965223246647,-83.7742577340863,20.890000000000008,48.687780216703516,-0.07783644798062994,0.19999999999998863,20.530576933495063,6.189673913946275,-0.39563685604894566,243.68743244917,-83.85209418206693,21.089999999999996,215.53022916596154,-77.58458382014003,20.494363143951063,28.85246204629805
754.7559360000099,701.2000000000099,195.88809129845788,-83.7742577340863,20.89753890085767,48.79018216895881,-0.08622541707271125,0.1924610991423279,19.77097042671335,4.810581286154821,0.21382252569857196,244.6782734674167,-83.86048315115902,21.089999999999996,215.65906172517123,-78.96367644793149,21.11136142655624,29.42947200240934
754.8559360000099,701.30000000001,196.79454694017576,-83.7742577340863,20.9,48.87475615311459,-0.08895594077502267,0.18999999999999773,17.091310454874666,7.525175749347951,-0.14474719220096155,245.66930309329035,-83.86321367486133,21.089999999999996,213.88585739505044,-76.24908198473835,20.75525280779904,32.68446844496919
754.95593600001,701.40000000001,197.70113426464164,-83.7742577340863,20.9,48.947741329754535,-0.08895594077502267,0.18999999999999773,16.332680665901314,8.706426379093935,-0.26838334957978094,246.64887559439617,-83.86321367486133,21.089999999999996,214.03381493054295,-75.06783135499236,20.631616650420217,33.7832953921707
755.05593600001,701.50000000001,198.62307139152443,-83.7742577340863,20.9,49.01274042852074,-0.08895594077502267,0.18999999999999773,15.885195643991755,9.794354062293197,0.006473311392166919,247.63581182004518,-83.86321367486133,21.089999999999996,214.50826703551618,-73.97990367179311,20.906473311392165,34.57090860988692
755.1559360000099,701.6000000000099,199.55808767508066,-83.7742577340863,20.9,49.05989751412662,-0.08895594077502267,0.18999999999999773,11.790652423271064,12.620449634518373,0.22448716310718964,248.61798518920727,-83.86321367486133,21.089999999999996,211.34874009835173,-71.15380809956793,21.124487163107187,39.3767292837277
755.2559360000099,701.7000000000099,200.49586507782274,-83.7742577340863,20.9,49.10732932032951,-0.08895594077502267,0.18999999999999773,8.635235550417871,14.849883427928361,0.21494573649344728,249.60319439815225,-83.86321367486133,21.089999999999996,209.1311006282406,-68.92437430615794,21.114945736493446,43.14116268825184
755.3559360000099,701.80000000001,201.45182153463966,-83.7742577340863,20.90753835990851,49.11308537480011,-0.08895594077502267,0.18246164009148558,10.60987075973749,11.374863089720733,0.18027578277252815,250.56490690943977,-83.86321367486133,21.089999999999996,212.06169229437717,-72.39939464436557,21.08781414268104,40.173581956747384
755.45593600001,701.90000000001,202.4089019615743,-83.7742577340863,20.910000000000004,49.122378687337715,-0.08895594077502267,0.1799999999999926,10.630443087165009,2.9577187256875845,-0.08055375034552603,251.531280648912,-83.86321367486133,21.089999999999996,213.0393450487393,-80.81653900839872,20.829446249654477,38.61320008789645
755.55593600001,702.00000000001,203.3764872334397,-83.7742577340863,20.91753647519787,49.12112002491446,-0.08895594077502267,0.1724635248021258,14.362007995181793,-3.2201577986431125,0.7933896023367246,252.49760725835415,-83.86321367486133,21.089999999999996,217.73849522862147,-86.99441553272942,21.710926077534594,34.905384160097505
755.65593600001,702.10000000001,204.35170702482782,-83.7742577340863,20.927516966956265,49.098272122700166,-0.09734407493215258,0.16248303304373124,17.87605094078509,-6.747942026135053,0.8825705572782765,253.44997914752798,-83.87160180901846,21.089999999999996,222.2277579656129,-90.52219976022135,21.810087524234543,31.930801347343742
755.7559360000099,702.2000000000099,205.32877586503167,-83.7742577340863,20.937514858671662,49.064758718292495,-0.10843929157068999,0.1449633432068751,18.34086183825403,-6.430001331623723,0.1801266279083102,254.39353458332417,-83.882697025657,21.082478201878537,223.6696377032857,-90.20425906571003,21.117641486579974,31.36751859134012
755.8559360000099,702.30000000001,206.30937385401623,-83.7742577340863,20.947546285141563,49.01070474374066,-0.11119492636382233,0.1324537148584426,18.518509783361736,-5.533399866341544,-0.7051904765570092,255.3200785977569,-83.88545266045013,21.080000000000005,224.82788363737797,-89.30765760042785,20.242355808584552,30.981864174130784
755.95593600001,702.40000000001,207.2921449687455,-83.7742577340863,20.95755428697212,48.946158578520226,-0.11119492636382233,0.11492782138765989,20.02623982736304,-4.651210665542162,-0.21664994889611722,256.23830354726573,-83.88545266045013,21.07248210835978,227.31838479610855,-88.42546839962847,20.740904338076003,29.27598652997481
756.05593600001,702.50000000001,208.27542016663986,-83.7742577340863,20.96,48.871006519586984,-0.11119492636382233,0.10999999999999943,18.652414666872183,-3.785498025739426,-0.19509665553355449,257.14642668622685,-83.88545266045013,21.07,226.92783483351204,-87.55975575982573,20.764903344466447,30.442681892308055
756.15593600001,702.60000000001,209.25029089603723,-83.7826563112491,20.96,48.78799238835356,-0.11115010407588954,0.10248728783827943,19.10886335198853,-3.352088044899946,-0.11457623493240643,258.0382832843908,-83.89380641532499,21.06248728783828,228.35915424802576,-87.13474435614904,20.845423765067594,29.85634766119922
756.2559360000099,702.7000000000099,210.23026150416683,-83.78537722609062,20.96754641008832,48.68783766589479,-0.11119492715390322,0.09245358991167407,16.7861763340368,-2.2578565960790233,-0.45910036742709687,258.9180991700616,-83.89657215324452,21.059999999999995,227.01643783820364,-86.04323382216964,20.508446042661223,31.978561002979028
756.3559360000099,702.80000000001,211.2071050087974,-83.78537722609062,20.970000000000006,48.556639348754715,-0.11119492715390322,0.08251509715894656,17.772270958025285,-0.806555167047275,-0.2106011143315974,259.7637443575521,-83.89657215324452,21.052515097158953,228.9793759668227,-84.5919323931379,20.759398885668407,30.793615899936224
756.45593600001,702.90000000001,212.19121109997454,-83.78537722609062,20.970000000000006,48.41682783125961,-0.11119492715390322,0.0799999999999983,20.038546620134202,-0.32873311453830045,0.1402459965337678,260.60803893123415,-83.89657215324452,21.050000000000004,232.22975772010875,-84.11411034062891,21.110245996533774,28.379178933520638
756.55593600001,703.00000000001,213.1628244047286,-83.79377689094862,20.970000000000006,48.27311840137162,-0.10279526229589919,0.0799999999999983,19.487519563881694,0.30078093483682955,0.24168852781485675,261.43594280610023,-83.89657215324452,21.050000000000004,232.65034396861031,-83.4929959561118,21.211688527814864,28.788881835872328
756.65593600001,703.10000000001,214.13039949662132,-83.79649671888502,20.970000000000006,48.1072378893152,-0.10007543435949628,0.07251408268376736,18.365208541237045,1.5772374499864092,0.3019158138614724,262.2376373859365,-83.89657215324452,21.042514082683773,232.49560803785837,-82.21925926889861,21.27191581386148,29.790171422940855
756.75593600001,703.20000000001,215.11310071618846,-83.79649671888502,20.970000000000006,47.912732638275145,-0.10842452137134728,0.06999999999999318,15.324133858734534,-1.4285107049103758,-0.0654200739196171,263.0258333544636,-83.90492124025637,21.04,230.437234574923,-85.2250074237954,20.904579926080388,32.61560572091627
756.8559360000099,703.30000000001,216.09330720034598,-83.80489538535053,20.970000000000006,47.694681961835386,-0.1027962606883932,0.06999999999999318,15.173632231398894,0.4485362910752374,-0.30136309730037697,263.78798916218136,-83.90769164603893,21.04,231.26693943174487,-83.35635909427529,20.668636902699628,32.527842745902994
756.95593600001,703.40000000001,217.06587458926623,-83.80761621167942,20.97754301692814,47.457478963632354,-0.1000754343595105,0.05496507674834561,16.390287119616023,1.3587564610618763,-0.0233487944298435,264.5233535528986,-83.90769164603893,21.032508093676487,233.45616170888226,-82.44885975061754,20.954194222498298,31.10152299541667
757.05593600001,703.50000000001,218.04314906020568,-83.80761621167942,20.979999999999997,47.19251410070643,-0.1000754343595105,0.05000000000001137,17.632836188016373,1.7317219380407072,-0.30130129459294164,265.2356631609121,-83.90769164603893,21.03000000000001,235.67598524822205,-82.07589427363871,20.678698705407054,29.618464722451293
757.15593600001,703.60000000001,219.01153688519983,-83.80761621167942,20.979999999999997,46.9070208609688,-0.1000754343595105,0.042491213003760464,17.710727521456167,2.441434020717368,0.3805266553398102,265.91855774616863,-83.90769164603893,21.022491213003757,236.722264406656,-81.36618219096205,21.360526655339807,29.3086520167235
757.25593600001,703.70000000001,219.98730961340678,-83.80761621167942,20.987549955429245,46.589098017425414,-0.1000754343595105,0.03245004457075851,15.938900853325354,2.550812175535483,-0.3135502208750305,266.5764076308322,-83.90769164603893,21.020000000000003,235.92621046673213,-81.25680403614393,20.673999734554215,30.766564766027923
757.3559360000099,703.80000000001,220.96628985580617,-83.80761621167942,20.982480613980833,46.23594657492379,-0.1000754343595105,0.03000957323897424,16.54920668099586,2.388155091432931,-0.2282867020879828,267.20223643072995,-83.90769164603893,21.012490187219807,237.51549653680203,-81.41946112024648,20.754193911892852,29.7919541763387
757.45593600001,703.90000000001,221.93857003058545,-83.80761621167942,20.987535202080505,45.86052083476366,-0.10840796128570673,0.022464797919493407,14.91012810960716,3.7260969471165577,-0.3604746368844058,267.7990908653491,-83.91602417296512,21.009999999999998,236.84869814019262,-80.08151926456286,20.6270605651961,31.18937127203286
757.55593600001,704.00000000001,222.91421774165246,-83.80761621167942,20.990000000000002,45.45721782354849,-0.11119492636382233,0.01999999999999602,17.882795813313447,3.9319405387144517,0.40781502184944457,268.37143556520095,-83.91881113804324,21.009999999999998,240.7970135549659,-79.87567567296496,21.397815021849446,27.87195892072678
757.65593600001,704.10000000001,223.8879777883165,-83.80761621167942,20.990000000000002,45.02262125932634,-0.11119492636382233,0.01999999999999602,18.153574545763593,3.5802209201594186,0.37370681760709057,268.91059904764285,-83.91881113804324,21.009999999999998,242.0415523340801,-80.22739529152,21.363706817607092,27.12374109079353
757.75593600001,704.20000000001,224.86506649781796,-83.81599676978726,20.990000000000002,44.55941108780803,-0.10281436825597723,0.01999999999999602,19.344055816062188,3.972721805216863,0.11824630008697651,269.424477585626,-83.91881113804324,21.009999999999998,244.20912231388016,-79.8432749645704,21.10824630008698,25.54278349978966
757.8559360000099,704.30000000001,225.8473200151465,-83.81873570447382,20.990000000000002,44.06888055341025,-0.1000754335694154,0.027511576969079243,16.328960133059866,5.531873227571246,0.4773663237569675,269.91620056855675,-83.91881113804324,21.01751157696908,242.17628014820636,-78.28686247690257,21.46736632375697,28.30944012060825
757.95593600001,704.40000000001,226.82984862639302,-83.81873570447382,20.997537653276265,43.555967175898104,-0.1000754335694154,0.02246234672373859,19.633110399339785,6.0778162171610655,1.1200981365930789,270.3858158022911,-83.91881113804324,21.020000000000003,246.4629590257328,-77.74091948731275,22.117635789869343,24.73204855904763
758.05593600001,704.50000000001,227.80522703456595,-83.82713078184678,21.007547424251005,43.01374805698967,-0.09168035619646275,0.004961988286101615,17.99395606135776,5.480473827313857,0.6245821244486158,270.8189750915556,-83.91881113804324,21.012509412537106,245.7991830959237,-78.34665695453292,21.63212954869962,25.64025785483907
758.15593600001,704.60000000001,228.7828147608835,-83.82985519726822,21.017519065730475,42.44871856557464,-0.08895594077502267,-0.007519065730477337,17.71781615353903,4.095186580858635,-0.3219581688578085,271.23153332645813,-83.91881113804324,21.009999999999998,246.50063091442252,-79.73466861640958,20.695560896872667,25.08432687365853
758.25593600001,704.70000000001,229.77214134005908,-83.83823592182937,21.020000000000003,41.84663514738992,-0.08057521621387309,-0.017518713443696043,17.622398256181445,4.693361202655427,0.13549759687854165,271.618776487449,-83.91881113804324,21.002481286556307,247.39453959624052,-79.14487471917394,21.155497596878543,24.69063660345794
758.3559360000099,704.80000000001,230.75698494845733,-83.84097469006262,21.035076216164203,41.22521067567834,-0.07783644798061573,-0.03508621616419916,18.55977996475061,4.639936713446221,0.74919517285127,271.98219562413567,-83.91881113804324,20.999990000000004,249.31676491320795,-79.2010379766164,21.784271389015473,23.164503668580963
758.45593600001,704.90000000001,231.7498682242224,-83.84097469006262,21.047549215064564,40.57735523859387,-0.07783644798061573,-0.04003147247010119,14.946261490276026,3.022495171423349,0.11593127484355717,272.3272234628163,-83.91881113804324,21.007517742594462,246.69612971449843,-80.81847951863928,21.16348048990812,25.818391647503606
758.55593600001,705.00000000001,232.74907194893308,-83.84937410473319,21.057553775538754,39.89791944867483,-0.06943703331005224,-0.047553775538755616,12.278144929096356,3.879432312077986,-0.8178488139127518,272.6469913976079,-83.91881113804324,21.009999999999998,245.02721687802944,-79.9699417926552,20.239704961626003,27.91126776170235
758.65593600001,705.10000000001,233.7440629282346,-83.85209418206693,21.059999999999995,39.20299578759227,-0.07506935123632275,-0.03497702113853762,14.999983220586907,2.913729322439648,-0.8611723777576112,272.94705871582687,-83.92716353330326,21.025022978861458,248.7440461488215,-80.93836485962728,20.198827622242383,24.400846985252095
758.75593600001,705.20000000001,234.7402848684427,-83.84373294404547,21.06751944245135,38.4862556127876,-0.08619768679216122,-0.030002650490466465,15.024129874388336,3.2866444471727543,-0.13576031672787137,273.2265404812303,-83.92993063083763,21.037516791960883,249.76441474283104,-80.55708849687272,20.931759125723477,23.70355654557084
758.85593600001,705.3000000000101,235.73436898321518,-83.84097469006262,21.07,37.74926705317557,-0.10568311936459907,-0.014956887064116131,16.485211937130106,3.060323396761743,-0.3090692014656197,273.48363603639075,-83.94665780942722,21.055043112935884,252.2195809203453,-80.78065129330088,20.760930798534382,21.50046835052334
758.95593600001,705.40000000001,236.73692002038868,-83.84097469006262,21.077552995761337,36.98973147762004,-0.11119492636380812,-0.0025103513031226043,15.878494408749209,2.221096897197075,-0.35361259454622157,273.7266514980087,-83.95216961642643,21.075042644458215,252.6154144291379,-81.61987779286555,20.723940401215117,21.24257961061991
759.05593600001,705.50000000001,237.735900064491,-83.84097469006262,21.080000000000005,36.21349951630171,-0.11119492636380812,0.014978938670193287,16.591227343959204,2.883936081261188,-0.6223472462426132,273.9493995807927,-83.95216961642643,21.0949789386702,254.32712740845022,-80.95703860880144,20.457652753757394,19.859772396084974
759.15593600001,705.60000000001,238.72810183425992,-83.84935098417584,21.080000000000005,35.42681109662499,-0.10281863225058885,0.034995288222557264,17.30605663905718,3.5256023693559273,0.7330213813252879,274.1549129308849,-83.95216961642643,21.114995288222563,256.0341584733171,-80.32374861481992,21.813021381325292,18.493631917582174
759.25593600001,705.70000000001,239.72011909880632,-83.85209418206693,21.087521579899015,34.62775514604749,-0.10007543435949628,0.04749462918007907,15.173823777681474,2.7404895881944613,-0.3117918657361862,274.3478742448538,-83.95216961642643,21.135016209079094,254.89394287648778,-81.11160459387247,20.77572971416283,19.66350279370087
759.35593600001,705.8000000000101,240.711475919699,-83.85209418206693,21.089999999999996,33.81331156654221,-0.10007543435949628,0.06496214385536803,17.737323979724554,3.6698656926396227,0.07370351364568509,274.5247874862412,-83.95216961642643,21.154962143855364,258.4487998994236,-80.18222848942732,21.163703513645682,16.512114019837068
759.45593600001,705.90000000001,241.7106144327052,-83.85209418206693,21.089999999999996,32.975102411598186,-0.10007543435949628,0.08498843768703068,16.84169773581012,4.638007604842211,-0.4731562812695635,274.6857168443034,-83.95216961642643,21.174988437687027,258.5523121685153,-79.21408657722472,20.616843718730433,16.82402160146054
759.55593600001,706.00000000001,242.70608953402902,-83.85209418206693,21.089999999999996,32.1236739119187,-0.10007543435949628,0.09750776497289237,16.544433804927525,3.217687105451414,-0.2951155127402957,274.8297634459477,-83.95216961642643,21.18750776497289,259.25052333895655,-80.63440707661552,20.7948844872597,15.93343728201975
759.65593600001,706.10000000001,243.6874324491711,-83.85209418206693,21.089999999999996,31.269258027665074,-0.10007543435949628,0.10749678127751139,15.303554865017295,4.186536448225196,-0.6671866342042401,274.9566904768362,-83.95216961642643,21.197496781277508,258.9909873141884,-79.66555773384174,20.422813365795758,16.54928558288607
759.75593600001,706.20000000001,244.6782734674178,-83.86048315115903,21.089999999999996,30.393137135784116,-0.08333271256466901,0.11751271020828113,14.914672042651617,3.494185943446764,-1.1049963394683364,275.0714106032019,-83.9438158637237,21.207512710208277,259.5929455100694,-80.36629720771226,19.98500366053166,15.933488310786586
759.85593600001,706.3000000000101,245.6693030932915,-83.86321367486133,21.089999999999996,29.501345257890364,-0.07783644877071083,0.1275217060787135,14.903344201776857,3.111341547174812,0.43704474148741707,275.17064835118185,-83.94105012363204,21.21752170607871,260.57264729506835,-80.75187212768651,21.527044741487412,14.94551088566606
759.9559360000101,706.4000000000101,246.64887559439728,-83.86321367486133,21.089999999999996,28.608340864673096,-0.07783644877071083,0.13000000000000966,13.575388780273473,1.9588453338573029,0.6166383787811385,275.2572164590704,-83.94105012363204,21.220000000000006,260.2242643746708,-81.90436834100403,21.706638378781136,15.17809401628695
760.05593600001,706.50000000001,247.63581182004518,-83.86321367486133,21.089999999999996,27.692392595202563,-0.06950967383784246,0.14497689703446426,16.597377455558046,2.1068150232742036,1.2044033727997798,275.32820441524774,-83.93272334869917,21.23497689703446,264.2331892756032,-81.75639865158712,22.294403372799778,11.355973520299967
760.15593600001,706.60000000001,248.61798518920838,-83.86321367486133,21.089999999999996,26.76897340229445,-0.0667169559763039,0.15000000000000568,14.894637956044024,1.4155925296719518,-0.3225985503747066,275.38695859150283,-83.92993063083763,21.240000000000002,263.5126231452524,-82.44762114518937,20.76740144962529,11.975827031614076
760.25593600001,706.70000000001,249.6031943981534,-83.86321367486133,21.089999999999996,25.831302477490226,-0.05836307006602226,0.1575053171747065,15.416797167715156,0.44498215440572564,0.3904777768091379,275.4344968756436,-83.92157674492735,21.247505317174703,265.01999156586857,-83.4182315204556,21.480477776809135,10.429264280344965
760.35593600001,706.8000000000101,250.56490690944085,-83.86321367486133,21.089999999999996,24.910004179011338,-0.055597463181911166,0.16748829403830712,12.06582479172882,1.186156456063467,-0.07163254769326219,275.4749110884522,-83.91881113804324,21.257488294038303,262.6307317011697,-82.67705721879786,21.018367452306734,12.906280475241678
760.4559360000101,706.9000000000101,251.5312806489131,-83.86321367486133,21.089999999999996,23.974423523622107,-0.047246991946153116,0.1700000000000017,14.067055178694874,0.520629246332947,0.1729103479616647,275.5057041725352,-83.91046066680748,21.259999999999998,265.59833582760797,-83.34258442852838,21.26291034796166,9.923630354572554
760.55593600001,707.00000000001,252.49760725835415,-83.86321367486133,21.089999999999996,23.02765832817039,-0.03611624783111722,0.1700000000000017,10.48426870297235,-0.31571548387821186,0.028873936540655357,275.52526558652454,-83.89932992269244,21.259999999999998,262.9818759613265,-84.17892915873954,21.118873936540652,12.547299135196821
760.65593600001,707.10000000001,253.44997914752798,-83.87160180901846,21.089999999999996,22.087835692525232,-0.02497034422606248,0.1700000000000017,11.036232009974002,0.579480937741856,0.6110013593505499,275.5378148400532,-83.89657215324452,21.259999999999998,264.486211157502,-83.2921208712766,21.701001359350546,11.076903335653034
